N,Size,Min,Max,Sum,Average
0, 16x16,6715,40361,1014472,10144
1, 32x32,22370,93770,3204161,32041
2, 48x48,49785,260946,7706355,77063
3, 64x64,86379,251325,12753641,127536
4, 80x80,135382,414328,19474044,194740
5, 96x96,199285,638787,28672957,286729
6, 112x112,267087,1262342,37899394,378993
7, 128x128,349776,910950,50112051,501120
8, 144x144,445179,1260879,64374380,643743
9, 160x160,552349,1561487,75421731,754217
10, 176x176,666306,1898859,93261096,932610
11, 192x192,791766,2616185,108886926,1088869
12, 208x208,932842,2881679,127878182,1278781
13, 224x224,1083606,2952570,158399086,1583990
14, 240x240,1242239,3326155,171382225,1713822
15, 256x256,1414309,5606139,212259921,2122599
16, 272x272,1597466,5574840,214267698,2142676
17, 288x288,1793161,4023503,241634030,2416340
18, 304x304,1996009,4810679,272076653,2720766
19, 320x320,2211355,5185492,292987918,2929879
