N,Size,Min,Max,Sum,Average
0, 16x16,47067,106835,5673504,56735
1, 32x32,185529,436223,21472751,214727
2, 48x48,439218,848363,49034113,490341
3, 64x64,767919,1528590,88708292,887082
4, 80x80,1204635,2436180,141326518,1413265
5, 96x96,1741929,3492404,200995150,2009951
6, 112x112,2376855,4526734,272930043,2729300
7, 128x128,3191400,6248589,364113294,3641132
8, 144x144,3956751,7288871,451373915,4513739
9, 160x160,4891716,9920781,574744626,5747446
10, 176x176,5931897,10255297,677703147,6777031
11, 192x192,7078104,14224650,867057248,8670572
12, 208x208,8303538,15640856,987608714,9876087
13, 224x224,9778542,17152050,1167919227,11679192
14, 240x240,11107920,18323466,1258120163,12581201
15, 256x256,12679848,24307440,1460695263,14606952
16, 272x272,14273202,18412918,1531898146,15318981
17, 288x288,16173654,30570259,1759988058,17599880
18, 304x304,17881818,23322972,1956877350,19568773
19, 320x320,19897941,26177979,2182929215,21829292
