N,Size,Min,Max,Sum,Average
0, 16x16,24691,53993,344333,34433
1, 32x32,94485,246637,1484945,148494
2, 48x48,225436,317339,2633387,263338
3, 64x64,399588,639000,5138239,513823
4, 80x80,670934,910259,8184103,818410
5, 96x96,839949,2235129,11941504,1194150
6, 112x112,1184860,2352095,16518250,1651825
7, 128x128,1517158,3404877,20907269,2090726
8, 144x144,1887251,5336130,26627429,2662742
9, 160x160,2550409,5682658,35043710,3504371
10, 176x176,2988397,6390297,40152039,4015203
11, 192x192,3585203,5832575,46337816,4633781
12, 208x208,4206342,7171067,51956314,5195631
13, 224x224,5005483,6816862,62072723,6207272
14, 240x240,5720254,11120790,70889527,7088952
15, 256x256,6387654,9326924,78978129,7897812
16, 272x272,7180868,15057703,96647111,9664711
17, 288x288,7803474,14580906,106502337,10650233
18, 304x304,9007604,13556113,112357183,11235718
19, 320x320,12021340,14892675,130353049,13035304
