N,Size,Min,Max,Sum,Average
0, 16x16,30167,86264,475236,47523
1, 32x32,119158,249735,1647236,164723
2, 48x48,241863,473919,3148780,314878
3, 64x64,453415,773910,5964301,596430
4, 80x80,702026,1420561,9057628,905762
5, 96x96,1109845,1761065,13517413,1351741
6, 112x112,1271263,3281577,19357260,1935726
7, 128x128,1661291,2949965,22069392,2206939
8, 144x144,2170533,5404946,29835796,2983579
9, 160x160,2697331,5444375,32820251,3282025
10, 176x176,3271547,5478133,40216585,4021658
11, 192x192,3706088,12576154,55436268,5543626
12, 208x208,4408901,8060590,59559038,5955903
13, 224x224,5187897,8433956,61777984,6177798
14, 240x240,5998373,12303352,81829071,8182907
15, 256x256,7080142,11945710,86189777,8618977
16, 272x272,7983237,12074965,95380761,9538076
17, 288x288,8842514,15341855,114872927,11487292
18, 304x304,9948693,16572277,128762918,12876291
19, 320x320,10594307,15250878,132475533,13247553
