N,Size,Min,Max,Sum,Average
0, 16x16,26558,67759,331919,33191
1, 32x32,108145,183841,1310375,131037
2, 48x48,225873,581542,3131113,313111
3, 64x64,398981,1239825,6784219,678421
4, 80x80,666088,1710250,9290733,929073
5, 96x96,956138,2149235,12533659,1253365
6, 112x112,1305361,6134920,21487788,2148778
7, 128x128,1702082,3317081,22005552,2200555
8, 144x144,2081668,4305180,30428836,3042883
9, 160x160,2657536,8314385,39071058,3907105
10, 176x176,3145667,6680382,46232690,4623269
11, 192x192,3634079,5995060,45461325,4546132
12, 208x208,4223300,6534820,52414603,5241460
13, 224x224,4882567,8560415,64497484,6449748
14, 240x240,5955069,10343009,74755260,7475526
15, 256x256,6655388,14398010,92497314,9249731
16, 272x272,7873409,12744945,98624090,9862409
17, 288x288,8773455,18004769,124962464,12496246
18, 304x304,9426061,17157208,119160079,11916007
19, 320x320,11684365,16047980,137403638,13740363
