N,Size,Min,Max,Sum,Average
0, 16x16,22197,83706,2894955,28949
1, 32x32,78585,156376,9044900,90449
2, 48x48,171423,315064,19032805,190328
3, 64x64,300948,588840,34074804,340748
4, 80x80,467523,910461,51033231,510332
5, 96x96,671976,1043165,72056049,720560
6, 112x112,884526,1350845,95576045,955760
7, 128x128,1157100,2313946,125436685,1254366
8, 144x144,1464342,2232440,159515326,1595153
9, 160x160,1860123,3612143,207974783,2079747
10, 176x176,2183127,4112711,244596468,2445964
11, 192x192,2595459,4376652,288868486,2888684
12, 208x208,3047655,5210437,339714559,3397145
13, 224x224,3535395,5270936,385424751,3854247
14, 240x240,4059627,6389174,449680029,4496800
15, 256x256,4617243,8729031,517383742,5173837
16, 272x272,5209491,7795337,554513087,5545130
17, 288x288,5836254,8333344,622613700,6226137
18, 304x304,6507267,8457528,691899943,6918999
19, 320x320,7206651,10035175,772265780,7722657
