N,Size,Min,Max,Sum,Average
0, 16x16,22230,55080,2537842,25378
1, 32x32,78222,175578,8615915,86159
2, 48x48,165918,282420,18923339,189233
3, 64x64,300819,584370,32805755,328057
4, 80x80,453483,856144,51864592,518645
5, 96x96,672366,1157508,74172525,741725
6, 112x112,888972,1784730,101941138,1019411
7, 128x128,1153800,1952520,127249818,1272498
8, 144x144,1460217,2229130,158990192,1589901
9, 160x160,1802682,3036882,194853625,1948536
10, 176x176,2180805,4372890,237255194,2372551
11, 192x192,2595843,3964405,287191668,2871916
12, 208x208,3048531,6188843,346149140,3461491
13, 224x224,3531396,7125969,401389647,4013896
14, 240x240,4059906,7565621,458873058,4588730
15, 256x256,4670388,8210196,509754270,5097542
16, 272x272,5237631,7938170,572627508,5726275
17, 288x288,5837970,7655987,634272362,6342723
18, 304x304,6507471,9300758,693757827,6937578
19, 320x320,7205343,9236272,777154231,7771542
