N,Size,Min,Max,Sum,Average
0, 16x16,16753,279586,2196019,21960
1, 16x16,16711,30365,1981587,19815
2, 32x32,50187,99628,5642207,56422
3, 48x48,75626,151967,11644375,116443
4, 64x64,186429,674408,22254597,222545
5, 80x80,101917,587968,31763928,317639
6, 96x96,2144,1796468,46106162,461061
7, 112x112,50621,987698,60980504,609805
8, 128x128,267444,1140654,80058287,800582
9, 144x144,323099,1327697,99524502,995245
10, 160x160,492872,1692465,124871348,1248713
11, 176x176,582316,3001572,151385602,1513856
12, 192x192,1017776,3800324,192918220,1929182
13, 208x208,939303,4298298,220214523,2202145
14, 224x224,1189091,4830847,255907505,2559075
15, 240x240,2010868,4987004,292778103,2927781
16, 256x256,2268345,5410182,342358553,3423585
17, 272x272,2485529,6053963,395959446,3959594
18, 288x288,2078293,6782155,419568170,4195681
19, 304x304,3106730,7885150,490048075,4900480
20, 320x320,3437290,8319629,522405046,5224050
