N,Size,Min,Max,Sum,Average
0, 16x16,22488,71217,2596463,25964
1, 32x32,78042,127518,8567212,85672
2, 48x48,170628,255590,18400744,184007
3, 64x64,300972,588233,34263570,342635
4, 80x80,454860,853235,51380960,513809
5, 96x96,653325,958798,71705530,717055
6, 112x112,885279,1483848,96891351,968913
7, 128x128,1153359,2333940,133155434,1331554
8, 144x144,1463658,3016364,170883738,1708837
9, 160x160,1840803,3356992,204868772,2048687
10, 176x176,2194110,4208926,246413430,2464134
11, 192x192,2599038,4543911,291050068,2910500
12, 208x208,3048351,5560702,341690274,3416902
13, 224x224,3532737,6926146,398049547,3980495
14, 240x240,4063623,7640026,445420791,4454207
15, 256x256,4618374,9264037,512700236,5127002
16, 272x272,5214633,9249306,574421539,5744215
17, 288x288,5845479,8250225,636463890,6364638
18, 304x304,6511596,10173300,707444647,7074446
19, 320x320,7208682,13719167,794380228,7943802
