N,Size,Min,Max,Sum,Average
0, 16x16,13400,13400,13400,13400
1, 32x32,47958,47958,47958,47958
2, 48x48,116746,116746,116746,116746
3, 64x64,325715,325715,325715,325715
4, 80x80,253651,253651,253651,253651
5, 96x96,440400,440400,440400,440400
6, 112x112,827020,827020,827020,827020
7, 128x128,635370,635370,635370,635370
8, 144x144,804670,804670,804670,804670
9, 160x160,927882,927882,927882,927882
10, 176x176,1715800,1715800,1715800,1715800
11, 192x192,2236898,2236898,2236898,2236898
12, 208x208,2584076,2584076,2584076,2584076
13, 224x224,2353996,2353996,2353996,2353996
14, 240x240,3289367,3289367,3289367,3289367
15, 256x256,2631555,2631555,2631555,2631555
16, 272x272,2878700,2878700,2878700,2878700
17, 288x288,4273053,4273053,4273053,4273053
18, 304x304,3522281,3522281,3522281,3522281
19, 320x320,4008591,4008591,4008591,4008591
