N,Size,Min,Max,Sum,Average
0, 16x16,15540,15540,15540,15540
1, 16x16,14585,14585,14585,14585
2, 32x32,95830,95830,95830,95830
3, 48x48,78543,78543,78543,78543
4, 64x64,115841,115841,115841,115841
5, 80x80,184808,184808,184808,184808
6, 96x96,257724,257724,257724,257724
7, 112x112,352776,352776,352776,352776
8, 128x128,463483,463483,463483,463483
9, 144x144,612357,612357,612357,612357
10, 160x160,721097,721097,721097,721097
11, 176x176,1012263,1012263,1012263,1012263
12, 192x192,1062343,1062343,1062343,1062343
13, 208x208,1245407,1245407,1245407,1245407
14, 224x224,1209344,1209344,1209344,1209344
15, 240x240,1622094,1622094,1622094,1622094
16, 256x256,1866150,1866150,1866150,1866150
17, 272x272,2105162,2105162,2105162,2105162
18, 288x288,3325240,3325240,3325240,3325240
19, 304x304,2896490,2896490,2896490,2896490
20, 320x320,3195214,3195214,3195214,3195214
21, 336x336,2440416,2440416,2440416,2440416
22, 352x352,3888538,3888538,3888538,3888538
23, 368x368,3905968,3905968,3905968,3905968
24, 384x384,4155898,4155898,4155898,4155898
25, 400x400,4435918,4435918,4435918,4435918
26, 416x416,5140074,5140074,5140074,5140074
27, 432x432,5447715,5447715,5447715,5447715
28, 448x448,4867569,4867569,4867569,4867569
29, 464x464,6062479,6062479,6062479,6062479
30, 480x480,6736737,6736737,6736737,6736737
31, 496x496,7307142,7307142,7307142,7307142
32, 512x512,8371159,8371159,8371159,8371159
33, 528x528,7855055,7855055,7855055,7855055
34, 544x544,9995640,9995640,9995640,9995640
35, 560x560,9105441,9105441,9105441,9105441
36, 576x576,11475226,11475226,11475226,11475226
37, 592x592,9685755,9685755,9685755,9685755
38, 608x608,14612295,14612295,14612295,14612295
39, 624x624,11472908,11472908,11472908,11472908
40, 640x640,12024519,12024519,12024519,12024519
41, 656x656,12455157,12455157,12455157,12455157
42, 672x672,11868422,11868422,11868422,11868422
43, 688x688,15100971,15100971,15100971,15100971
44, 704x704,14427971,14427971,14427971,14427971
45, 720x720,14750414,14750414,14750414,14750414
46, 736x736,17753414,17753414,17753414,17753414
47, 752x752,18401297,18401297,18401297,18401297
48, 768x768,19119248,19119248,19119248,19119248
49, 784x784,18656060,18656060,18656060,18656060
50, 800x800,19079019,19079019,19079019,19079019
51, 816x816,18808282,18808282,18808282,18808282
52, 832x832,21094711,21094711,21094711,21094711
53, 848x848,20896504,20896504,20896504,20896504
54, 864x864,40116502,40116502,40116502,40116502
55, 880x880,41371913,41371913,41371913,41371913
56, 896x896,25766212,25766212,25766212,25766212
57, 912x912,26486269,26486269,26486269,26486269
58, 928x928,25657168,25657168,25657168,25657168
59, 944x944,25921535,25921535,25921535,25921535
60, 960x960,26944517,26944517,26944517,26944517
61, 976x976,30054045,30054045,30054045,30054045
62, 992x992,46786731,46786731,46786731,46786731
63, 1008x1008,29524228,29524228,29524228,29524228
64, 1024x1024,34047150,34047150,34047150,34047150
65, 1040x1040,33881886,33881886,33881886,33881886
66, 1056x1056,34382650,34382650,34382650,34382650
67, 1072x1072,31960028,31960028,31960028,31960028
68, 1088x1088,33292113,33292113,33292113,33292113
69, 1104x1104,36672094,36672094,36672094,36672094
70, 1120x1120,39064496,39064496,39064496,39064496
71, 1136x1136,37636370,37636370,37636370,37636370
72, 1152x1152,40173742,40173742,40173742,40173742
73, 1168x1168,41662988,41662988,41662988,41662988
74, 1184x1184,44063862,44063862,44063862,44063862
75, 1200x1200,43994791,43994791,43994791,43994791
76, 1216x1216,44459952,44459952,44459952,44459952
77, 1232x1232,54900992,54900992,54900992,54900992
78, 1248x1248,46241748,46241748,46241748,46241748
79, 1264x1264,47606457,47606457,47606457,47606457
80, 1280x1280,51607300,51607300,51607300,51607300
81, 1296x1296,54493463,54493463,54493463,54493463
82, 1312x1312,67191451,67191451,67191451,67191451
83, 1328x1328,54451430,54451430,54451430,54451430
84, 1344x1344,72681370,72681370,72681370,72681370
85, 1360x1360,55695338,55695338,55695338,55695338
86, 1376x1376,54993532,54993532,54993532,54993532
87, 1392x1392,56948645,56948645,56948645,56948645
88, 1408x1408,57375050,57375050,57375050,57375050
89, 1424x1424,58321610,58321610,58321610,58321610
90, 1440x1440,108421887,108421887,108421887,108421887
91, 1456x1456,63555579,63555579,63555579,63555579
92, 1472x1472,64429360,64429360,64429360,64429360
93, 1488x1488,63747451,63747451,63747451,63747451
94, 1504x1504,65557042,65557042,65557042,65557042
95, 1520x1520,68557981,68557981,68557981,68557981
96, 1536x1536,69271114,69271114,69271114,69271114
97, 1552x1552,68578286,68578286,68578286,68578286
98, 1568x1568,72122236,72122236,72122236,72122236
99, 1584x1584,73617749,73617749,73617749,73617749
100, 1600x1600,75932068,75932068,75932068,75932068
