N,Size,Min,Max,Sum,Average
0, 16x16,16876,16876,16876,16876
1, 16x16,17082,17082,17082,17082
2, 32x32,51260,51260,51260,51260
3, 48x48,114105,114105,114105,114105
4, 64x64,193079,193079,193079,193079
5, 80x80,290261,290261,290261,290261
6, 96x96,460823,460823,460823,460823
7, 112x112,571120,571120,571120,571120
8, 128x128,780827,780827,780827,780827
9, 144x144,997198,997198,997198,997198
10, 160x160,1155043,1155043,1155043,1155043
11, 176x176,1428147,1428147,1428147,1428147
12, 192x192,1698275,1698275,1698275,1698275
13, 208x208,1351258,1351258,1351258,1351258
14, 224x224,1393728,1393728,1393728,1393728
15, 240x240,2656147,2656147,2656147,2656147
16, 256x256,1920012,1920012,1920012,1920012
17, 272x272,3629211,3629211,3629211,3629211
18, 288x288,3194941,3194941,3194941,3194941
19, 304x304,6749641,6749641,6749641,6749641
20, 320x320,4698910,4698910,4698910,4698910
21, 336x336,5195834,5195834,5195834,5195834
22, 352x352,5361529,5361529,5361529,5361529
23, 368x368,5147048,5147048,5147048,5147048
24, 384x384,6199581,6199581,6199581,6199581
25, 400x400,7737957,7737957,7737957,7737957
26, 416x416,8608246,8608246,8608246,8608246
27, 432x432,9103086,9103086,9103086,9103086
28, 448x448,8534087,8534087,8534087,8534087
29, 464x464,11909068,11909068,11909068,11909068
30, 480x480,9458049,9458049,9458049,9458049
31, 496x496,10880067,10880067,10880067,10880067
32, 512x512,12493346,12493346,12493346,12493346
33, 528x528,13255795,13255795,13255795,13255795
34, 544x544,13790578,13790578,13790578,13790578
35, 560x560,16303364,16303364,16303364,16303364
36, 576x576,15158838,15158838,15158838,15158838
37, 592x592,17605191,17605191,17605191,17605191
38, 608x608,16196923,16196923,16196923,16196923
39, 624x624,19088400,19088400,19088400,19088400
40, 640x640,23496257,23496257,23496257,23496257
41, 656x656,21891801,21891801,21891801,21891801
42, 672x672,21778049,21778049,21778049,21778049
43, 688x688,20890341,20890341,20890341,20890341
44, 704x704,25440279,25440279,25440279,25440279
45, 720x720,25427621,25427621,25427621,25427621
46, 736x736,25379700,25379700,25379700,25379700
47, 752x752,26658591,26658591,26658591,26658591
48, 768x768,27414960,27414960,27414960,27414960
49, 784x784,30852444,30852444,30852444,30852444
50, 800x800,29638293,29638293,29638293,29638293
51, 816x816,31233029,31233029,31233029,31233029
52, 832x832,33222780,33222780,33222780,33222780
53, 848x848,34175261,34175261,34175261,34175261
54, 864x864,37234481,37234481,37234481,37234481
55, 880x880,35551065,35551065,35551065,35551065
56, 896x896,39203698,39203698,39203698,39203698
57, 912x912,41022159,41022159,41022159,41022159
58, 928x928,40753653,40753653,40753653,40753653
59, 944x944,40805863,40805863,40805863,40805863
60, 960x960,43192136,43192136,43192136,43192136
61, 976x976,46461797,46461797,46461797,46461797
62, 992x992,44926946,44926946,44926946,44926946
63, 1008x1008,48588807,48588807,48588807,48588807
64, 1024x1024,48030399,48030399,48030399,48030399
65, 1040x1040,50597892,50597892,50597892,50597892
66, 1056x1056,53969875,53969875,53969875,53969875
67, 1072x1072,55887709,55887709,55887709,55887709
68, 1088x1088,57388445,57388445,57388445,57388445
69, 1104x1104,60217534,60217534,60217534,60217534
70, 1120x1120,62768420,62768420,62768420,62768420
71, 1136x1136,60849481,60849481,60849481,60849481
72, 1152x1152,63256934,63256934,63256934,63256934
73, 1168x1168,64060533,64060533,64060533,64060533
74, 1184x1184,66137479,66137479,66137479,66137479
75, 1200x1200,67533037,67533037,67533037,67533037
76, 1216x1216,70772151,70772151,70772151,70772151
77, 1232x1232,74179997,74179997,74179997,74179997
78, 1248x1248,72245779,72245779,72245779,72245779
79, 1264x1264,77354010,77354010,77354010,77354010
80, 1280x1280,84723097,84723097,84723097,84723097
81, 1296x1296,81165602,81165602,81165602,81165602
82, 1312x1312,81444268,81444268,81444268,81444268
83, 1328x1328,81994709,81994709,81994709,81994709
84, 1344x1344,85619401,85619401,85619401,85619401
85, 1360x1360,88207743,88207743,88207743,88207743
86, 1376x1376,100692790,100692790,100692790,100692790
87, 1392x1392,91278073,91278073,91278073,91278073
88, 1408x1408,96067141,96067141,96067141,96067141
89, 1424x1424,100260215,100260215,100260215,100260215
90, 1440x1440,97074876,97074876,97074876,97074876
91, 1456x1456,102697309,102697309,102697309,102697309
92, 1472x1472,105473878,105473878,105473878,105473878
93, 1488x1488,103621552,103621552,103621552,103621552
94, 1504x1504,118748645,118748645,118748645,118748645
95, 1520x1520,110164174,110164174,110164174,110164174
96, 1536x1536,113300288,113300288,113300288,113300288
97, 1552x1552,116240066,116240066,116240066,116240066
98, 1568x1568,123679070,123679070,123679070,123679070
99, 1584x1584,134825993,134825993,134825993,134825993
100, 1600x1600,120449728,120449728,120449728,120449728
